address, points,
tz1WUBEpxdhAt6S7Uyzrkx4gDVYH6nBiTNai, 1,
tz1fNjMk7tPJVVg3MCE7DZj4x85DXH9DsuuS, 1,
tz1Un4jjSLqxu2p3bZnAhRhFvcA5j8kPeU4Q, 1,
tz1c6Brwut7ZqXQfkjxDXvyAUL2Mr43p2JZZ, 1,
tz1NjmqjVryyamcC5DJ2KYeZn9rD25nARe7D, 1,
tz1bS48UjMighMf89V74z1Fg5JdxTK5FKNas, 1,
tz1aaGzD9tTGb3xX1oF7cYN4UWU2YXuw5WvG, 1,
tz1SBxNvpDFC4bjW23CtQfVLqN5cBATVf68B, 1,
tz1WGMbfVnzVSTD8oNgZA8feaYvNvBYzSVmD, 1,
tz1XRTNgXgWmR4PqxZpiB6HZJ8Siz3M2JAim, 1,
tz1WTFspeogAswLUyxUKrLKxmrCZ2aRqhSYz, 1,
tz1MTQ2uGHetUUa5K2VKawTErtRGxvcTVWSG, 1,
tz1NLriYQcLzyDqvd1PR6uQcYaiUv7wvCn3C, 1,
tz1Rgo7URug42QnhBM6eLy4MWdfwn4RovHy6, 1,
tz1hRZDdpiGm68vPHkvUbmrQLGNLggjxx9PS, 1,
tz1XrwX7i9Nzh8e6UmG3VnFkAeoyWdTqDf3U, 1,
tz1eK1BQWxv7mKn924RYRTxUj7ZWLD4zpZAG, 1,
tz1WeKH4iJ4PVxKeVYwCoRUZNW9f9vFq1QXq, 1,
tz1U6R3G9mF8n9qH5mhrMZjgJTMKAEYb9Uw7, 1,
tz1SdKt9kjPp1HRQFkBmXtBhgMfvdgFhSjmG, 1,
tz1UQ6cQZef4MuskJjV9g8pXNZa5s8ff1oQy, 1,
tz1RPbKSL7N7hd35ncAZ75XjEFNR5TBC5A8s, 1,
tz1dAKrr5ruyGJg2J34qdzPDXDMkMbqbYQfK, 1,
tz1PkhtL92gsaK2rjwMQRWEZ7YHpSvX7khyh, 1,
tz1RY14SJ4XnvjL2Ak6EtXn3Q8YZUvknQo5G, 1,
