address, token_allocation
tz1cZg2dY1NZka5vJfcACh8owd9Pt5E28pNP, 453.1722054380665
tz1czGMShkB8ZtCHKHeCPTY3CpuiCrjsGJBy, 302.11480362537765
tz1d125GVGG4QJEC9N6dVQ8g9TpcnJULNhkr, 151.05740181268882
tz1d3kPmT5vs5gDix4Tn3AqtTJcYkrJijFp7, 302.11480362537765
tz1d4cbP98Sbni6mxUmvAN9vufMZskSv3F4K, 151.05740181268882
tz1daKxrqyoFUCcuQj36BeMN9C1Ytmjg5p6n, 453.1722054380665
tz1dBU7YAkrviDyUvZN5aeTZJ9YrmtaDADMG, 453.1722054380665
tz1dcpUhXGeXexEXispSpfv7CeufoFnV7AAf, 151.05740181268882
tz1dghYwdzvHc3tYHp8iHpNUSpmAvvs8Zjs8, 302.11480362537765
tz1djbv9JAQkbn8uQqXJEmM4ymxHSqmdzGy4, 453.1722054380665
tz1djxLnPVGFnR3H1wY7K1TRoMzgcsitQHff, 151.05740181268882
tz1dKaw4xdNjfufDSLWRxumNBwe2VX4mxXyW, 755.2870090634441
tz1dkkfj76D6KkhqwZbDcBy2hRvNc45TEaVM, 151.05740181268882
tz1dmNMXraGsmyPByV8RxDUAaF5XDawnHpDf, 151.05740181268882
tz1dNTV2DXUpqC7SEiJ4BTB5RvL53bPPHZfM, 151.05740181268882
tz1dPHDXSCFo8PienbvDMyCKr5DXjPMrZkJ1, 151.05740181268882
tz1dPPVGVRxY45ZvnRMU3vebaBVMuhPq5bxh, 604.2296072507553
tz1dq82YADjaJVLqBuqeKA7QYbBDGXzygmyY, 151.05740181268882
tz1dTmMLY7tan1HKfW5e3KxJcfZput6UuTH6, 302.11480362537765
tz1dyQ93s2GViy3jjCQFTt7tixxp2XgmAgfz, 302.11480362537765
tz1dz7eYRd5uV2DndcPWFeEHYGgw4bJZoCBN, 151.05740181268882
tz1e34cyK8Ppa1Sw4WbwMJG6fECUsh9ifbDh, 151.05740181268882
tz1e4epYR8MQiunGs91T2g7G2cjTpbKPpoc8, 151.05740181268882
tz1e4PwSbGrdyq9dkxmrQYe5BaUHkETqRvNd, 302.11480362537765
tz1e6WjbfGYL1j1SJ47EhGjRb22LDH5tKEwA, 453.1722054380665
tz1e79js9L7MZUmdio6oDigvtK9Up8Jqxt18, 453.1722054380665
tz1e8wrsyVhbVkAqEXC7ekCTEzEfy8KnjJKb, 151.05740181268882
tz1e9zf1JRiL1uZgdyGE28WXM6z4xcYDUEKi, 151.05740181268882
tz1ecAtwNdrsABBKa7Bvn9ZEq1Ze1EvS9WTW, 302.11480362537765
